claim_id,claim_text,source_file,source_page,classification,evidence,conflict_details,recommended_action,safe_to_remain_visible_temporarily
C020,Empowering students worldwide,index.html,Homepage (footer tagline),DO_NOT_PUBLISH,Center has one branch in Amman. 'Worldwide' is inconsistent with single-branch status.,Contradicts single-branch fact in project brief.,REMOVE,NO
C021,Kids English Adventure — $149,courses.html / kidsenglishadventure.html,Courses page and course detail,DO_NOT_PUBLISH,Price is consistent across both pages. Not verified as current real price.,No conflict between pages.,REMOVE,NO
C022,The Comprehensive Mastery — $299,courses.html / thecomprehensivemastery1.html,Courses page and course detail,DO_NOT_PUBLISH,Price is consistent across both pages. Not verified as current real price.,No conflict between pages.,REMOVE,NO
C023,1-on-1 Personalized — $45,courses.html / 1-on-1personalized.html,Courses page and course detail,DO_NOT_PUBLISH,Price is consistent across both pages. Not verified.,No conflict between pages.,REMOVE,NO
C024,Academic advisor will contact within 24 hours,login.html,Registration thank-you page,DO_NOT_PUBLISH,Whether this SLA is consistently met is unknown.,Cannot verify operationally.,REMOVE,NO
C025,EDU Critivity Center (misspelling),login.html,Thank-you page text (line 665),OWNER_CONFIRMED,Misspelled: 'Critivity' instead of 'Creativity'. Present in thank-you screen after registration.,Conflicts with official name on all other pages.,APPROVED_FOR_PUBLIC_USE,NO — active misspelling of brand name
C026,Contact form uses mailto: action,contact.html,Contact page,NEEDS_CONFIRMATION,mailto: forms do not work reliably in all browsers or mail clients. Many modern browsers block or poorly support them.,No backend form handler found.,Replace mailto: form with a reliable form handler or provide alternative contact method clearly.,YES — functional for some users but unreliable
C027,WhatsApp link number 962798681269 (general contact),All pages footer,All pages,OWNER_CONFIRMED,Consistently used. Cannot verify ownership without owner confirmation.,See phone number conflicts in academy-facts.md.,APPROVED_FOR_PUBLIC_USE,YES
C028,WhatsApp link number 962782610108 (registration contact),login.html success/duplicate pages,Registration wizard,OWNER_CONFIRMED,Different number from the general site-wide WhatsApp. Possibly corresponds to official brief phone 0782610108.,CONFLICT with 962798681269 used site-wide.,APPROVED_FOR_PUBLIC_USE,YES
C029,Instagram link href=https://www.instagram.com/,All pages footer,All pages,OWNER_CONFIRMED,Points to Instagram homepage. Not the center's Instagram profile.,Not the center's account.,APPROVED_FOR_PUBLIC_USE,YES
C030,Facebook profile ID 61587546087301,All pages footer,All pages,OWNER_CONFIRMED,URL is consistent across all pages. Profile ID must be owner-verified.,No conflict in URL.,APPROVED_FOR_PUBLIC_USE,YES
C031,Canonical domain educerativitycenter.com (possible typo),All 8 HTML pages,All pages,OWNER_CONFIRMED,"All canonical, OG, and structured data URLs use 'educerativitycenter.com'. Email uses 'educreativitycenter.com'. 'cerativity' is not a word.",Critical conflict — wrong domain in all SEO tags.,APPROVED_FOR_PUBLIC_USE,YES
C032,Duplicate Lucide script tag in contact.html,contact.html,Contact page (head),REJECTED,Lucide script appears twice in head (lines 37 and 39). No content or trust issue — purely a technical error.,Redundant script loading.,Remove the duplicate script tag.,YES — no user-visible impact
C033,logo.svg favicon reference in login.html,login.html,Registration page (head),CONFLICTING,login.html references logo.svg?v=1 as favicon. No logo.svg file exists in the project.,Broken favicon reference on registration page.,Replace with images/logo.webp favicon reference (consistent with other pages).,YES — favicon only; no functional impact
